Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID,School,# Enrolled,% Enrolled,# Econ Disadv,% Econ Disadv,# LEP,% LEP,# Special Ed,% Special Ed,Grade Span
0.0,0.0,0.0,0.0,0.0,0.0,3903201,JUVENILE DETENT CTR,7,100.0,7,100.0,0,0.0,0,0.0,'06 - 11
54.0,16.0,76.0,47.0,5.0,65.0,3904001,HUNTINGTON H S,515,100.0,238,46.200001,2,0.40000001,42,8.199999799999999,'09 - 12
27.0,5.0,45.0,25.0,0.0,25.0,3904005,PRIDE ALTER SCH,15,100.0,10,66.699997,0,0.0,2,13.3,'10 - 12
50.0,22.0,78.0,45.0,24.0,74.0,3904041,HUNTINGTON MIDDLE,397,100.0,228,57.400002,3,0.80000001,66,16.6,'06 - 08
40.0,21.0,76.0,36.0,21.0,73.0,3904101,HUNTINGTON EL,119,24.4,304,62.299999,5,1.0,42,8.6000004,'EE - 03
44.0,20.0,80.0,46.0,20.0,86.0,3904102,HUNTINGTON INT,244,100.0,149,61.099998,8,3.3,32,13.1,'04 - 05
52.0,14.0,78.0,42.0,2.0,66.0,3905001,DIBOLL H S,499,100.0,353,70.699997,27,5.4000001,61,12.2,'09 - 12
11.0,11.0,67.0,-1.0,-1.0,-1.0,3905004,STUBBLEFIELD LRN CTR,6,100.0,0,0.0,0,0.0,2,33.299999,'11 - 12
45.0,18.0,79.0,36.0,14.0,72.0,3905041,DIBOLL J H,429,100.0,320,74.599998,83,19.299999,45,10.5,'06 - 08
38.0,18.0,73.0,42.0,19.0,77.0,3905103,H G TEMPLE INT,389,100.0,317,81.5,98,25.200001,38,9.8000002,'03 - 05
37.0,12.0,73.0,34.0,10.0,66.0,3906001,ZAVALLA H S,190,100.0,120,63.200001,0,0.0,27,14.2,'06 - 12
40.0,22.0,75.0,41.0,21.0,79.0,3906101,ZAVALLA EL,80,47.099998,123,72.400002,0,0.0,20,11.8,'PK - 05
53.0,17.0,79.0,43.0,4.0,65.0,3907001,CENTRAL H S,403,100.0,198,49.099998,5,1.2,64,15.9,'09 - 12
-1.0,-1.0,-1.0,0.0,0.0,0.0,3907004,STUBBLEFIELD LRN CTR,1,100.0,0,0.0,0,0.0,1,100.0,'12 - 12
53.0,26.0,81.0,52.0,29.0,78.0,3907041,CENTRAL J H,421,100.0,238,56.5,9,2.0999999,61,14.5,'05 - 08
43.0,17.0,74.0,48.0,24.0,79.0,3907102,CENTRAL EL,223,34.799999,429,67.0,38,5.9000001,75,11.7,'EE - 04
59.0,22.0,81.0,45.0,5.0,67.0,4901001,ROCKPORT-FULTON H S,858,100.0,481,56.099998,23,2.7,70,8.199999799999999,'09 - 12
38.0,18.0,69.0,35.0,16.0,66.0,4901041,ROCKPORT-FULTON MIDDLE,648,100.0,459,70.800003,32,4.9000001,73,11.3,'06 - 08
37.0,19.0,69.0,38.0,20.0,71.0,4901101,FULTON LEARNING CENTER,649,100.0,462,71.199997,42,6.5,80,12.3,'03 - 05
64.0,31.0,89.0,67.0,30.0,84.0,5901001,ARCHER CITY H S,231,100.0,102,44.200001,1,0.40000001,36,15.6,'07 - 12
64.0,37.0,90.0,61.0,39.0,88.0,5901101,ARCHER CITY EL,140,51.099998,168,61.299999,7,2.5999999,32,11.7,'PK - 06
76.0,31.0,93.0,74.0,25.0,90.0,5902001,HOLLIDAY H S,319,100.0,42,13.2,0,0.0,20,6.3000002,'09 - 12
67.0,34.0,89.0,67.0,38.0,90.0,5902041,HOLLIDAY MIDDLE,249,100.0,48,19.299999,0,0.0,21,8.3999996,'06 - 08
48.0,24.0,79.0,50.0,25.0,83.0,5902101,HOLLIDAY EL,233,48.700001,129,27.0,3,0.60000002,54,11.3,'EE - 05
64.0,19.0,85.0,59.0,3.0,81.0,5904001,WINDTHORST H S,135,100.0,49,36.299999,3,2.2,12,8.8999996,'09 - 12
61.0,35.0,89.0,51.0,27.0,84.0,5904041,WINDTHORST JH,92,100.0,37,40.200001,2,2.2,7,7.599999900000001,'06 - 08
70.0,44.0,95.0,61.0,39.0,96.0,5904101,WINDTHORST EL,82,46.599998,75,42.599998,22,12.5,15,8.5,'PK - 05
55.0,24.0,86.0,53.0,19.0,80.0,6902001,CLAUDE H S,140,100.0,45,32.099998,2,1.4,16,11.4,'07 - 12
56.0,32.0,83.0,56.0,32.0,88.0,6902101,CLAUDE EL,111,50.900002,101,46.299999,2,0.89999998,22,10.1,'PK - 06
53.0,13.0,79.0,50.0,3.0,70.0,7901001,CHARLOTTE H S,145,100.0,107,73.800003,3,2.0999999,19,13.1,'09 - 12
33.0,12.0,74.0,38.0,13.0,72.0,7901041,CHARLOTTE MIDDLE,127,100.0,89,70.099998,9,7.099999900000001,23,18.1,'05 - 08
35.0,13.0,68.0,30.0,16.0,67.0,7901101,CHARLOTTE EL,68,34.700001,150,76.5,13,6.599999900000001,20,10.2,'EE - 04
57.0,25.0,76.0,47.0,9.0,68.0,7902001,JOURDANTON H S,417,100.0,201,48.200001,6,1.4,36,8.6000004,'09 - 12
0.0,0.0,0.0,0.0,0.0,0.0,7902005,ATASCOSA COUNTY JUVENILE JUSTICE C,6,100.0,2,33.299999,0,0.0,1,16.700001,'08 - 12
48.0,21.0,79.0,46.0,24.0,80.0,7902041,JOURDANTON J H,354,100.0,173,48.900002,9,2.5,37,10.5,'06 - 08
37.0,17.0,76.0,36.0,16.0,79.0,7902101,JOURDANTON EL,363,44.099998,487,59.200001,23,2.8,86,10.4,'EE - 05
33.0,7.0,67.0,28.0,3.0,57.0,7904001,LYTLE H S,459,100.0,325,70.800003,52,11.3,32,7.0,'09 - 12
29.0,10.0,64.0,32.0,14.0,67.0,7904041,LYTLE J H,399,100.0,297,74.400002,43,10.8,28,7.0,'06 - 08
31.0,14.0,64.0,30.0,12.0,66.0,7904101,LYTLE EL,375,76.400002,355,72.300003,69,14.1,37,7.5,'02 - 05
51.0,17.0,74.0,41.0,6.0,60.0,7905001,PLEASANTON H S,1031,100.0,576,55.900002,20,1.9,84,8.1000004,'09 - 12
