Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID
38.0,19.0,72.0,45.0,25.0,75.0,10902102
43.0,14.0,65.0,38.0,5.0,56.0,11901001
42.0,13.0,68.0,35.0,5.0,56.0,11901002
85.0,34.0,98.0,75.0,8.0,96.0,11901005
14.0,4.0,40.0,9.0,1.0,20.0,11901022
35.0,15.0,64.0,35.0,19.0,65.0,11901041
36.0,18.0,63.0,38.0,19.0,65.0,11901101
52.0,29.0,84.0,55.0,35.0,88.0,11901102
36.0,18.0,64.0,31.0,16.0,62.0,11901103
39.0,19.0,69.0,32.0,16.0,62.0,11901104
29.0,11.0,62.0,33.0,15.0,66.0,11901106
25.0,10.0,58.0,25.0,13.0,58.0,11901107
34.0,15.0,65.0,27.0,12.0,59.0,11901108
34.0,17.0,64.0,31.0,18.0,64.0,11901109
28.0,12.0,61.0,26.0,11.0,60.0,11901110
38.0,8.0,68.0,35.0,3.0,58.0,11902001
0.0,0.0,0.0,0.0,0.0,0.0,11902003
11.0,4.0,49.0,10.0,0.0,34.0,11902004
29.0,10.0,61.0,31.0,12.0,60.0,11902041
23.0,8.0,56.0,29.0,10.0,64.0,11902101
28.0,13.0,62.0,32.0,16.0,67.0,11902102
29.0,11.0,59.0,36.0,15.0,69.0,11902103
52.0,16.0,81.0,54.0,9.0,75.0,11904002
44.0,19.0,76.0,48.0,25.0,77.0,11904041
41.0,21.0,70.0,39.0,19.0,69.0,11904101
46.0,16.0,74.0,51.0,14.0,77.0,11905001
49.0,27.0,85.0,53.0,31.0,91.0,11905101
79.0,34.0,95.0,73.0,19.0,90.0,12901001
54.0,26.0,85.0,60.0,33.0,90.0,12901042
53.0,29.0,89.0,51.0,32.0,89.0,12901101
45.0,17.0,85.0,53.0,24.0,89.0,13801101
39.0,13.0,65.0,30.0,3.0,48.0,13901001
91.0,21.0,100.0,90.0,10.0,100.0,13901004
26.0,7.0,63.0,27.0,7.0,64.0,13901041
80.0,40.0,99.0,85.0,56.0,100.0,13901042
39.0,17.0,76.0,43.0,19.0,80.0,13901101
27.0,12.0,61.0,27.0,10.0,66.0,13901102
46.0,21.0,85.0,46.0,19.0,79.0,13902101
34.0,7.0,71.0,36.0,8.0,66.0,13903001
39.0,19.0,85.0,41.0,20.0,88.0,13903101
56.0,20.0,79.0,52.0,10.0,70.0,13905001
50.0,21.0,84.0,53.0,30.0,88.0,13905041
44.0,19.0,82.0,54.0,25.0,91.0,13905101
10.0,2.0,34.0,10.0,1.0,27.0,14801001
6.0,1.0,33.0,7.0,0.0,25.0,14801002
9.0,1.0,39.0,8.0,0.0,31.0,14801004
10.0,1.0,49.0,12.0,0.0,38.0,14801005
17.0,3.0,50.0,16.0,0.0,39.0,14801006
14.0,2.0,49.0,12.0,1.0,37.0,14801007
16.0,2.0,56.0,13.0,0.0,43.0,14801008
11.0,0.0,47.0,7.0,0.0,37.0,14801009
8.0,0.0,32.0,8.0,0.0,25.0,14801010
36.0,13.0,78.0,45.0,12.0,73.0,14803002
29.0,11.0,67.0,29.0,11.0,64.0,14803003
42.0,18.0,73.0,43.0,18.0,66.0,14803004
39.0,15.0,69.0,39.0,16.0,69.0,14803101
0.0,0.0,0.0,0.0,0.0,0.0,14804002
57.0,14.0,83.0,48.0,7.0,74.0,14804005
71.0,40.0,93.0,73.0,42.0,94.0,14804006
40.0,18.0,71.0,37.0,22.0,72.0,14804007
36.0,18.0,70.0,38.0,26.0,74.0,14804008
55.0,16.0,81.0,57.0,10.0,74.0,14901001
54.0,25.0,84.0,54.0,28.0,82.0,14901041
53.0,28.0,84.0,46.0,26.0,84.0,14901101
31.0,10.0,68.0,34.0,11.0,70.0,14902001
56.0,21.0,76.0,50.0,10.0,67.0,14903001
74.0,29.0,91.0,73.0,15.0,88.0,14903005
47.0,20.0,77.0,45.0,23.0,75.0,14903043
45.0,21.0,76.0,46.0,23.0,75.0,14903044
57.0,29.0,85.0,57.0,30.0,85.0,14903045
47.0,27.0,75.0,48.0,30.0,75.0,14903102
39.0,18.0,76.0,37.0,24.0,76.0,14903103
22.0,10.0,57.0,21.0,11.0,62.0,14903104
70.0,48.0,92.0,72.0,49.0,93.0,14903108
64.0,38.0,88.0,60.0,38.0,88.0,14903109
56.0,32.0,88.0,54.0,30.0,88.0,14903111
62.0,37.0,89.0,61.0,40.0,89.0,14903116
53.0,31.0,83.0,50.0,27.0,84.0,14903117
37.0,20.0,71.0,39.0,21.0,71.0,14903118
