campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
SEALY J H,607,100,337,55.5,69,11.4,79,13,'06 - 08,8902041
SELMAN EL,333,50.5,424,64.300003,132,20,74,11.2,'EE - 05,8902102
SEALY EL,319,46.799999,439,64.5,127,18.6,45,6.5999999,'PK - 05,8902104
BRAZOS H S,217,100,106,48.799999,20,9.1999998,16,7.4000001,'09 - 12,8903001
BRAZOS MIDDLE,204,100,121,59.299999,29,14.2,15,7.4000001,'06 - 08,8903041
BRAZOS EL,178,52.400002,238,70,79,23.200001,37,10.9,'EE - 05,8903102
PRAIRIE HARBOR ALTERNATIVE SCHOOL,64,100,64,100,0,0,24,37.5,'04 - 12,8903103
MULESHOE H S,349,100,288,82.5,28,8,51,14.6,'09 - 12,9901001
P E P,14,100,14,100,1,7.0999999,1,7.0999999,'09 - 12,9901002
WATSON J H,340,100,291,85.599998,54,15.9,47,13.8,'06 - 08,9901041
MARY DESHAZO EL,319,100,282,88.400002,102,32,46,14.4,'03 - 05,9901101
DILLMAN EL,0,0,342,87.199997,145,37,46,11.7,'EE - 02,9901103
MEDINA SCHOOL,212,69.300003,189,61.799999,5,1.6,37,12.1,'PK - 12,10901001
BANDERA H S,640,100,286,44.700001,9,1.4,73,11.4,'09 - 12,10902001
BANDERA MIDDLE,530,100,262,49.400002,24,4.5,70,13.2,'06 - 08,10902041
ALKEK EL,245,43,339,59.5,42,7.4000001,73,12.8,'EE - 05,10902101
HILL COUNTRY EL,232,47.299999,305,62.200001,22,4.5,63,12.9,'PK - 05,10902102
BASTROP H S,1466,100,813,55.5,170,11.6,149,10.2,'09 - 12,11901001
CEDAR CREEK H S,1572,100,1058,67.300003,327,20.799999,156,9.8999996,'09 - 12,11901002
COLORADO RIVER COLLEGIATE ACADEMY,206,100,124,60.200001,6,2.9000001,4,1.9,'09 - 12,11901005
GENESIS H S,112,100,98,87.5,27,24.1,15,13.4,'09 - 12,11901022
BASTROP MIDDLE,820,100,508,62,146,17.799999,93,11.3,'07 - 08,11901041
EMILE EL,269,38,452,63.900002,178,25.200001,71,10,'PK - 04,11901101
MINA EL,244,37.5,369,56.799999,26,4,98,15.1,'EE - 04,11901102
CEDAR CREEK EL,295,38.400002,662,86.199997,484,63,69,9,'EE - 04,11901103
BASTROP INT,825,100,561,68,162,19.6,99,12,'05 - 06,11901104
CEDAR CREEK MIDDLE,920,100,709,77.099998,282,30.700001,100,10.9,'07 - 08,11901106
RED ROCK EL,245,39.099998,530,84.699997,318,50.799999,74,11.8,'PK - 04,11901107
CEDAR CREEK INT,930,100,723,77.699997,334,35.900002,125,13.4,'05 - 06,11901108
BLUEBONNET EL,310,39.900002,601,77.400002,291,37.5,72,9.3000002,'PK - 04,11901109
LOST PINES EL,246,37,577,86.800003,324,48.700001,74,11.1,'PK - 04,11901110
ELGIN H S,1284,100,891,69.400002,173,13.5,127,9.8999996,'09 - 12,11902001
BASTROP COUNTY JUVENILE BOOT CAMP,1,100,1,100,0,0,0,0,'10 - 10,11902003
PHOENIX H S,50,100,39,78,9,18,7,14,'09 - 12,11902004
ELGIN MIDDLE,1023,100,803,78.5,325,31.799999,116,11.3,'06 - 08,11902041
BOOKER T WASHINGTON EL,342,53.200001,539,83.800003,338,52.599998,58,9,'KG - 05,11902101
ELGIN EL,284,35.599998,676,84.699997,346,43.400002,78,9.8000002,'EE - 05,11902102
NEIDIG EL,317,49.599998,483,75.599998,190,29.700001,70,11,'KG - 05,11902103
SMITHVILLE H S,547,100,281,51.400002,21,3.8,68,12.4,'09 - 12,11904002
SMITHVILLE J H,424,100,247,58.299999,29,6.8000002,46,10.8,'06 - 08,11904041
