cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
79,34,95,73,19,90,12901001
54,26,85,60,33,90,12901042
53,29,89,51,32,89,12901101
45,17,85,53,24,89,13801101
39,13,65,30,3,48,13901001
91,21,100,90,10,100,13901004
26,7,63,27,7,64,13901041
80,40,99,85,56,100,13901042
39,17,76,43,19,80,13901101
27,12,61,27,10,66,13901102
46,21,85,46,19,79,13902101
34,7,71,36,8,66,13903001
39,19,85,41,20,88,13903101
56,20,79,52,10,70,13905001
50,21,84,53,30,88,13905041
44,19,82,54,25,91,13905101
10,2,34,10,1,27,14801001
6,1,33,7,0,25,14801002
9,1,39,8,0,31,14801004
10,1,49,12,0,38,14801005
17,3,50,16,0,39,14801006
14,2,49,12,1,37,14801007
16,2,56,13,0,43,14801008
11,0,47,7,0,37,14801009
8,0,32,8,0,25,14801010
36,13,78,45,12,73,14803002
29,11,67,29,11,64,14803003
42,18,73,43,18,66,14803004
39,15,69,39,16,69,14803101
,,,,,,14804002
57,14,83,48,7,74,14804005
71,40,93,73,42,94,14804006
40,18,71,37,22,72,14804007
36,18,70,38,26,74,14804008
55,16,81,57,10,74,14901001
54,25,84,54,28,82,14901041
53,28,84,46,26,84,14901101
31,10,68,34,11,70,14902001
56,21,76,50,10,67,14903001
74,29,91,73,15,88,14903005
47,20,77,45,23,75,14903043
45,21,76,46,23,75,14903044
57,29,85,57,30,85,14903045
47,27,75,48,30,75,14903102
39,18,76,37,24,76,14903103
22,10,57,21,11,62,14903104
70,48,92,72,49,93,14903108
64,38,88,60,38,88,14903109
56,32,88,54,30,88,14903111
62,37,89,61,40,89,14903116
53,31,83,50,27,84,14903117
37,20,71,39,21,71,14903118
70,26,87,66,13,81,14905001
59,28,87,54,24,86,14905041
59,30,91,67,33,96,14905101
42,9,69,38,2,60,14906001
49,12,73,43,2,62,14906002
19,6,61,15,1,43,14906006
60,19,81,56,4,74,14906007
39,10,64,34,2,54,14906008
89,40,98,85,16,95,14906013
31,11,65,33,12,65,14906042
33,13,66,32,15,65,14906043
32,11,64,30,12,63,14906044
39,15,72,40,19,71,14906046
27,8,61,28,9,64,14906048
47,22,78,42,21,75,14906049
32,12,66,33,14,68,14906050
60,34,87,59,35,87,14906051
49,22,82,48,22,80,14906052
47,20,80,43,20,78,14906053
47,22,80,43,21,78,14906054
55,30,82,52,28,83,14906102
33,16,63,30,13,64,14906103
43,20,80,39,19,82,14906105
36,19,67,39,19,72,14906108
36,17,70,30,14,69,14906109
37,18,70,34,15,73,14906110
30,14,60,30,13,61,14906111
21,9,57,22,8,55,14906112
36,17,68,34,17,65,14906113
49,23,73,49,22,73,14906115
65,42,89,61,44,87,14906116
39,17,75,39,16,73,14906119
32,14,64,30,13,69,14906120
47,25,81,47,28,83,14906121
41,17,74,42,18,79,14906122
57,30,86,55,25,85,14906123
51,25,83,50,26,86,14906124
37,17,73,38,17,73,14906125
52,32,80,49,30,81,14906126
37,17,70,36,17,71,14906127
57,33,85,55,33,89,14906128
32,13,71,31,14,76,14906129
45,24,77,41,24,71,14906130
41,16,74,42,16,76,14906131
45,26,85,47,31,83,14906132
40,21,73,41,21,76,14906133
46,24,77,49,27,80,14906135
52,30,81,51,32,81,14906136
45,21,81,42,18,79,14906137
39,18,73,40,21,76,14906138
46,23,80,45,24,81,14906139
50,26,83,49,26,85,14906140
66,19,84,60,6,75,14907001
54,27,82,53,29,82,14907041
44,24,77,43,27,83,14907102
60,19,84,61,12,78,14908001
,,,,,,14908005
,,,,,,14908041
55,26,84,56,31,82,14908042
54,26,83,57,28,85,14908102
46,15,71,36,4,58,14909002
12,2,49,12,0,29,14909008
30,9,64,32,13,61,14909041
30,11,63,28,13,58,14909042
39,15,69,39,18,68,14909044
39,20,75,39,23,80,14909102
46,22,76,44,22,74,14909107
35,18,68,33,20,71,14909110
33,17,65,32,16,66,14909111
37,16,75,35,15,76,14909114
38,18,71,35,17,69,14909116
52,27,81,57,27,87,14909117
38,16,71,37,16,69,14909118
65,19,86,62,11,79,14910001
52,23,80,45,22,75,14910041
48,20,80,42,19,81,14910101
17,3,51,13,1,38,15801001
42,15,63,39,9,55,15801002
8,0,46,10,0,27,15801003
37,17,69,31,16,63,15802001
28,11,67,24,9,67,15802004
66,18,90,64,5,86,15805001
25,9,53,26,13,54,15805041
48,18,77,42,2,67,15806003
22,7,60,28,13,70,15806041
34,15,71,33,14,68,15806101
25,8,58,29,10,60,15806106
17,7,48,23,11,54,15807001
21,8,51,24,7,49,15807002
31,8,61,37,8,62,15807004
23,9,55,24,4,52,15807005
11,5,35,15,7,39,15807101
33,13,68,27,18,66,15807102
-1,-1,-1,-1,-1,-1,15808001
,,,,,,15808003
,,,,,,15808006
,,,,,,15808007
42,17,74,50,21,80,15808009
-1,-1,-1,,,,15808010
,,,,,,15808011
,,,,,,15808012
,,,,,,15808014
27,8,65,26,11,62,15809101
21,2,57,23,0,45,15814001
21,10,56,21,11,55,15815001
52,18,81,35,3,67,15815041
37,17,71,42,19,73,15815042
47,21,80,56,38,84,15815101
54,27,87,46,26,85,15815104
26,9,60,29,10,60,15822001
22,8,55,27,11,62,15822002
17,4,44,18,4,43,15822004
35,14,74,39,16,73,15822005
32,13,68,34,15,69,15822006
51,26,85,53,27,91,15822007
41,20,71,48,23,73,15822008
35,16,66,38,18,67,15822009
40,16,74,42,15,74,15822010
21,7,58,24,8,60,15822011
31,10,68,28,9,65,15825001
64,30,88,65,24,85,15827001
65,37,89,57,30,87,15827002
37,19,71,42,24,76,15827003
25,11,64,29,13,72,15827004
46,18,75,47,16,72,15828001
35,15,69,39,16,71,15828002
46,21,79,42,21,76,15828003
40,17,75,38,17,73,15828004
38,18,70,36,15,68,15828005
43,20,76,42,24,76,15828006
54,24,83,54,23,79,15828007
67,27,85,59,14,76,15828008
27,9,62,31,10,64,15830001
35,13,69,41,17,71,15830101
45,18,72,49,23,81,15830102
57,34,82,59,29,87,15830103
53,28,82,53,29,81,15831001
47,20,78,47,20,76,15831002
