cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
49,24,78,50,28,81,57905204
35,18,65,34,18,65,57905205
53,28,81,53,30,80,57905206
36,16,63,33,14,61,57905207
34,16,68,30,12,69,57905208
54,29,83,55,28,83,57905209
51,27,79,49,23,80,57905210
37,14,69,35,13,68,57905211
70,39,95,72,42,97,57905212
44,21,73,48,23,75,57905213
35,14,72,34,12,73,57905215
48,27,80,45,23,77,57905216
97,82,100,98,88,100,57905217
26,11,57,26,11,56,57905218
35,18,73,40,22,76,57905219
27,14,59,30,18,62,57905220
43,18,75,42,17,72,57905222
56,28,89,58,35,90,57905224
27,12,59,27,11,59,57905225
49,26,82,51,29,83,57905226
55,31,84,49,28,81,57905229
60,38,87,60,36,87,57905230
43,19,75,41,19,75,57905232
47,25,79,50,26,79,57905233
58,29,85,60,30,85,57905234
31,12,69,32,11,66,57905235
27,12,51,27,14,49,57905236
45,21,74,41,20,71,57905237
52,27,86,52,27,83,57905239
36,20,66,39,23,66,57905240
36,14,67,40,19,70,57905244
41,19,75,43,19,77,57905247
29,14,63,32,14,69,57905250
41,19,71,36,16,64,57905260
55,32,81,57,37,83,57905263
42,18,75,39,17,78,57905264
39,19,70,37,17,65,57905265
17,5,53,14,4,49,57905266
42,23,73,46,30,75,57905270
53,27,78,47,25,75,57905271
50,23,81,59,27,85,57905272
47,24,75,46,25,75,57905273
47,21,78,50,25,82,57905274
51,26,82,46,23,77,57905275
54,30,79,46,26,73,57905276
44,24,78,45,23,77,57905277
41,17,77,47,20,82,57905278
45,22,77,50,26,80,57905279
54,29,82,52,28,80,57905280
43,20,76,40,17,74,57905281
50,30,77,48,34,73,57905283
44,21,77,46,24,79,57905284
40,19,72,34,15,71,57905286
53,31,83,59,36,83,57905287
47,24,80,41,21,78,57905289
23,9,56,23,8,55,57905301
45,20,75,43,19,73,57905303
45,21,79,42,22,81,57905304
44,21,74,43,20,74,57905305
73,45,95,74,50,97,57905306
52,24,83,45,22,79,57905352
40,16,75,36,14,73,57905353
20,4,55,22,6,55,57905354
55,21,90,60,28,91,57905359
49,21,84,46,23,78,57905360
37,13,76,33,13,70,57905362
86,59,99,76,45,98,57905363
32,6,63,27,2,51,57905380
75,37,98,75,38,97,57905381
46,15,73,36,2,61,57905382
57,12,80,59,8,75,57905383
90,60,98,87,61,98,57905384
8,0,33,8,0,21,57905389
45,11,72,38,4,59,57906001
8,3,49,7,0,29,57906003
23,7,57,26,9,60,57906041
31,8,68,38,12,74,57906042
30,11,65,36,16,71,57906043
29,11,63,30,12,67,57906102
24,7,64,24,10,68,57906103
36,16,67,36,16,67,57906106
31,15,69,35,20,70,57906107
39,17,74,37,19,75,57906108
31,13,67,35,18,71,57906109
29,11,62,33,16,66,57906112
43,11,72,38,3,60,57907001
13,0,48,15,0,42,57907004
,,,,,,57907005
32,11,69,35,17,71,57907041
43,17,76,43,20,78,57907042
39,15,74,47,22,81,57907043
45,25,72,47,30,74,57907101
36,18,70,35,22,75,57907102
25,10,56,29,12,57,57907103
32,14,65,32,13,69,57907104
35,15,63,35,16,62,57907105
33,11,68,32,14,67,57907106
36,20,69,34,20,67,57907107
30,11,68,30,11,68,57907108
39,18,73,33,13,68,57907109
34,14,70,35,15,70,57907110
34,14,62,38,15,65,57907111
29,14,57,29,14,58,57907112
51,21,72,44,11,61,57909002
39,9,69,30,1,55,57909003
64,28,83,58,14,74,57909004
60,21,83,59,11,77,57909005
11,0,64,0,0,17,57909006
,,,,,,57909007
49,15,75,45,5,65,57909008
56,19,79,48,5,68,57909009
69,31,85,60,12,76,57909010
74,48,93,75,54,92,57909041
29,9,63,28,11,62,57909042
36,12,71,31,12,65,57909043
60,33,85,61,36,86,57909045
30,9,68,30,10,67,57909046
61,32,86,62,33,86,57909047
33,12,67,36,16,69,57909048
40,18,74,41,17,73,57909049
42,17,77,43,20,77,57909050
39,15,72,36,15,70,57909051
59,30,87,57,31,85,57909052
43,17,77,44,20,78,57909054
62,38,89,65,43,91,57909101
44,23,76,47,24,80,57909102
34,15,69,33,15,66,57909103
38,13,74,38,13,78,57909105
37,18,72,40,20,72,57909107
49,21,76,50,21,77,57909108
32,11,70,31,9,71,57909109
43,23,74,42,25,74,57909110
84,64,96,83,66,96,57909111
43,15,79,49,16,85,57909112
32,13,65,34,18,68,57909113
64,37,86,67,42,89,57909115
39,18,70,39,18,69,57909116
36,15,68,36,12,74,57909117
46,23,76,46,23,77,57909119
34,15,62,35,16,69,57909120
30,12,63,30,11,67,57909121
80,59,93,79,60,94,57909122
49,24,76,56,30,78,57909123
32,12,65,35,12,70,57909124
78,55,93,81,61,94,57909125
46,22,77,43,22,76,57909126
53,30,85,57,31,88,57909127
43,20,77,45,21,81,57909128
66,37,92,70,39,93,57909129
35,13,69,39,16,74,57909132
42,21,77,42,24,77,57909133
49,21,84,51,24,89,57909134
,,,,,,57909135
37,16,72,43,21,75,57909136
47,24,80,50,27,84,57909137
57,34,82,56,35,82,57909138
60,30,86,62,37,88,57909139
53,28,82,55,31,85,57909140
43,18,75,45,19,75,57909141
46,22,74,51,23,77,57909142
51,27,81,46,24,83,57909143
62,34,88,63,37,90,57909144
55,31,86,53,30,85,57909145
45,20,79,46,21,79,57909146
43,24,76,49,29,80,57909147
51,27,83,51,31,85,57909148
41,17,74,43,18,76,57909154
62,39,87,59,39,87,57909155
49,26,79,47,26,79,57909156
36,19,67,35,18,68,57909157
43,20,72,43,23,76,57909158
40,17,74,42,18,80,57909159
82,44,99,84,38,99,57910001
36,10,65,27,2,50,57910002
54,20,77,44,5,66,57910003
17,4,52,10,0,29,57910009
75,31,91,64,10,83,57910010
85,46,99,85,39,100,57910011
31,10,66,33,11,65,57910041
36,13,72,37,15,72,57910045
36,13,72,38,16,71,57910047
52,23,81,55,28,83,57910050
29,10,61,28,10,57,57910051
35,14,69,31,13,64,57910052
37,15,73,39,16,71,57910053
59,33,86,52,28,86,57910101
36,20,69,38,21,73,57910102
30,16,60,27,16,61,57910104
43,19,75,49,22,83,57910106
40,21,71,39,17,75,57910109
50,25,82,50,26,85,57910113
40,20,75,42,21,77,57910118
52,28,82,50,28,81,57910119
31,13,69,31,13,72,57910120
57,31,86,58,34,85,57910121
38,20,73,39,22,77,57910122
66,41,91,69,46,92,57910123
39,17,70,39,15,74,57910124
41,18,74,41,21,73,57910125
40,21,74,41,22,78,57910126
36,17,67,34,15,69,57910128
51,29,82,58,36,86,57910129
48,22,77,50,23,81,57910130
63,38,91,63,37,93,57910131
45,20,73,43,18,71,57910132
91,69,100,91,73,100,57910135
47,26,78,48,25,79,57910136
42,18,76,36,16,72,57910137
92,55,98,93,41,98,57911001
79,50,96,84,60,97,57911041
71,47,95,72,51,97,57911101
81,52,97,83,63,97,57911102
82,57,96,82,57,97,57911103
83,56,98,84,61,98,57911104
82,55,96,79,51,97,57911105
43,11,71,36,3,58,57912002
53,16,78,42,4,64,57912003
48,11,75,40,3,63,57912004
30,7,63,17,1,44,57912005
56,16,81,50,5,70,57912006
35,14,67,31,11,63,57912041
37,12,69,32,12,64,57912042
45,20,75,43,20,73,57912043
40,16,71,38,16,68,57912044
38,15,71,32,11,67,57912045
43,18,74,39,18,70,57912046
47,22,77,38,16,69,57912048
35,13,70,33,12,68,57912050
36,18,69,31,17,71,57912101
34,13,70,27,12,66,57912102
31,13,67,28,11,66,57912103
36,16,67,30,15,62,57912105
42,20,77,41,17,73,57912106
45,21,74,44,21,74,57912107
35,16,67,33,13,66,57912108
41,20,73,36,17,68,57912109
43,20,76,46,19,77,57912111
33,15,66,31,15,65,57912112
50,25,80,46,23,79,57912113
43,21,74,38,17,72,57912114
50,26,79,44,22,77,57912116
48,27,80,42,24,78,57912118
43,21,75,42,18,75,57912119
40,22,76,39,22,77,57912120
40,17,71,39,16,73,57912121
40,20,73,33,17,69,57912122
35,16,67,34,19,69,57912123
45,24,78,42,27,80,57912124
52,12,80,44,4,68,57913001
45,18,77,42,19,75,57913041
36,17,71,30,14,61,57913042
41,19,75,38,20,75,57913101
46,22,77,43,21,72,57913102
47,23,85,48,23,85,57913103
39,15,77,41,17,75,57913106
39,17,77,39,19,81,57913107
48,23,78,47,23,78,57913109
51,13,75,43,2,63,57914001
53,13,77,44,0,64,57914002
48,11,74,41,2,60,57914003
60,18,81,50,3,69,57914004
56,15,79,46,2,65,57914005
36,15,69,34,13,66,57914041
37,13,69,32,12,65,57914042
53,23,80,41,19,72,57914043
36,12,71,35,15,68,57914044
34,11,67,30,10,63,57914045
43,19,75,42,20,71,57914046
46,21,78,44,21,75,57914047
35,14,68,34,15,65,57914048
36,14,68,36,14,65,57914049
39,17,75,37,16,78,57914101
46,22,77,44,21,78,57914102
43,22,75,38,20,73,57914103
43,22,73,41,20,74,57914104
36,17,64,33,15,61,57914105
37,18,70,37,21,71,57914106
54,31,83,51,29,84,57914107
41,18,72,38,18,72,57914108
35,16,68,30,15,66,57914109
45,22,75,44,19,76,57914110
43,24,77,39,18,78,57914111
34,15,69,26,11,68,57914112
38,17,71,38,15,72,57914113
41,20,72,44,23,75,57914114
46,24,81,48,27,82,57914115
30,13,63,31,15,63,57914116
52,27,87,50,27,87,57914117
42,20,77,37,16,76,57914118
38,20,71,39,19,75,57914119
37,18,68,33,17,63,57914120
41,18,75,37,17,74,57914121
66,35,88,64,37,88,57914122
40,17,74,44,19,80,57914123
36,15,70,37,14,70,57914124
52,28,80,52,31,83,57914125
42,20,77,44,21,76,57914126
37,17,68,39,19,71,57914127
43,21,79,43,22,80,57914128
46,19,79,47,23,84,57914129
52,25,82,49,23,81,57914130
41,19,75,41,18,75,57914131
41,18,74,45,20,80,57914132
51,21,86,51,20,88,57914133
14,0,86,-1,-1,-1,57914656
52,20,75,46,8,64,57916002
71,33,87,67,18,82,57916003
67,30,85,62,18,78,57916004
53,19,77,49,8,67,57916005
,,,,,,57916006
55,31,81,56,38,82,57916042
56,30,83,61,38,83,57916044
60,38,82,60,40,84,57916045
43,23,74,44,25,76,57916047
62,37,86,64,40,85,57916048
48,24,77,48,26,79,57916049
56,27,84,61,37,86,57916050
65,41,86,64,44,87,57916051
67,41,90,69,44,91,57916101
79,54,96,72,50,97,57916102
36,16,69,33,15,66,57916103
41,16,70,37,15,68,57916104
43,26,73,43,24,72,57916105
46,22,78,40,20,78,57916106
56,31,84,56,32,84,57916107
79,53,94,77,53,94,57916108
39,18,73,39,18,73,57916109
45,23,72,43,21,71,57916110
44,20,72,41,22,72,57916111
55,31,81,51,30,82,57916112
39,15,75,37,15,72,57916113
37,15,70,36,15,70,57916114
44,18,73,42,18,72,57916115
44,22,74,40,22,74,57916116
75,53,91,74,53,90,57916117
79,51,94,76,51,94,57916118
40,19,73,43,20,74,57916120
43,20,78,40,21,76,57916121
73,50,93,72,50,94,57916122
86,61,98,85,61,98,57916123
55,31,81,50,28,77,57916124
61,40,87,53,36,86,57916125
40,19,70,36,17,71,57916126
50,26,79,53,25,83,57916127
80,56,94,78,54,95,57916128
43,23,77,44,26,78,57916129
40,22,70,40,22,68,57916130
54,31,82,55,31,84,57916131
70,47,88,73,51,90,57916132
58,33,84,56,35,82,57916133
60,35,83,60,35,83,57916134
32,16,66,29,14,63,57916135
34,16,69,30,13,62,57916137
73,47,92,68,41,93,57916142
38,17,72,33,15,67,57916143
30,13,67,31,14,68,57916144
28,11,60,23,9,55,57916145
34,14,68,25,12,61,57916146
76,35,90,78,27,87,57919001
73,45,94,71,47,93,57919041
63,37,87,65,43,87,57919101
84,47,94,83,33,91,57922001
84,33,96,88,26,95,57922003
,,,,,,57922007
86,64,97,82,59,96,57922042
80,58,94,78,58,93,57922043
81,56,95,79,52,94,57922044
77,53,95,80,55,97,57922101
67,45,87,69,46,90,57922103
76,53,91,74,53,93,57922105
61,34,82,64,37,84,57922106
78,55,94,80,60,96,57922107
75,51,95,77,53,96,57922108
64,37,89,68,40,92,57922109
81,59,95,83,62,96,57922110
76,53,93,77,58,96,57922111
81,60,95,80,63,96,57922112
25,6,58,31,9,58,58902001
83,55,96,81,51,98,58905001
47,12,77,38,3,64,58906001
11,2,30,13,3,27,58906004
23,9,53,26,11,55,58906041
28,13,60,25,10,57,58906103
61,30,86,57,22,87,58909001
40,10,69,31,3,54,59901001
10,0,52,9,0,47,59901004
42,18,70,37,20,68,59901042
39,13,73,42,15,80,59901043
43,21,83,46,22,87,59901101
30,13,72,36,15,76,59901102
26,9,64,25,10,67,59901103
40,17,74,37,17,78,59901104
42,11,87,35,8,83,59902101
56,19,81,50,5,72,60902001
47,21,76,46,25,76,60902041
37,17,69,44,22,76,60902101
31,12,58,32,12,53,60914001
39,13,68,41,7,74,60914102
27,10,67,31,10,74,61802003
31,7,63,38,8,69,61802004
26,8,66,25,7,63,61802005
,,,,,,61804001
64,32,90,72,38,92,61804002
59,34,86,62,37,88,61805001
54,20,76,47,8,66,61901002
50,20,72,43,9,60,61901003
75,34,88,69,20,80,61901007
60,22,82,55,10,73,61901008
54,21,75,41,4,63,61901039
23,3,58,21,0,42,61901040
62,33,89,62,35,89,61901041
42,20,75,45,24,76,61901044
45,22,75,45,26,73,61901045
51,25,81,53,31,82,61901046
47,21,80,49,25,80,61901047
73,42,93,69,41,92,61901048
43,18,77,44,22,78,61901049
41,17,75,52,27,80,61901050
57,31,84,55,30,83,61901102
44,24,77,37,20,77,61901104
42,20,79,41,17,75,61901105
60,38,85,56,37,85,61901106
49,28,79,48,28,80,61901107
46,21,76,45,20,75,61901108
57,31,86,60,34,88,61901109
43,21,76,41,20,75,61901110
40,17,75,42,17,74,61901111
48,27,76,44,24,75,61901112
56,32,85,53,28,83,61901113
69,42,93,71,46,93,61901115
52,29,84,51,27,84,61901116
59,33,80,58,32,80,61901117
69,41,93,69,42,93,61901118
55,28,85,61,34,87,61901119
42,20,75,41,22,76,61901120
55,29,83,55,29,85,61901121
66,40,89,66,41,90,61901122
54,29,84,54,30,86,61901123
45,24,76,47,28,78,61901125
63,34,89,65,35,90,61901126
38,19,70,37,21,71,61901127
56,16,80,48,4,68,61902001
84,33,95,81,10,91,61902002
68,22,87,61,5,79,61902004
25,3,56,17,0,40,61902005
76,31,91,70,8,84,61902008
88,36,96,85,12,93,61902010
40,17,74,39,19,68,61902042
50,22,81,53,26,82,61902044
67,39,90,64,39,89,61902045
35,14,70,42,19,72,61902046
65,36,91,62,37,89,61902047
71,42,92,71,45,93,61902048
66,35,90,66,41,90,61902049
29,11,64,29,13,62,61902050
36,13,71,35,14,70,61902052
81,56,96,82,59,96,61902053
58,32,83,60,38,85,61902054
80,50,95,75,49,94,61902055
33,12,67,34,12,67,61902056
78,52,94,79,56,93,61902058
70,44,90,68,44,88,61902059
22,7,54,22,7,58,61902101
32,15,70,37,23,73,61902102
28,12,60,27,11,62,61902104
26,11,59,27,10,62,61902105
36,16,72,38,18,74,61902106
43,21,74,46,23,76,61902107
58,33,88,65,43,92,61902108
46,25,78,48,30,81,61902109
63,37,86,62,36,88,61902110
32,14,67,30,14,66,61902111
68,37,94,69,41,96,61902112
50,30,78,52,33,82,61902113
69,39,91,73,45,92,61902114
45,21,77,46,24,83,61902115
48,26,80,51,28,84,61902116
68,41,93,70,46,94,61902117
60,36,86,65,41,87,61902118
54,31,81,55,32,84,61902119
71,43,91,71,44,92,61902120
58,32,86,64,36,86,61902121
67,37,92,69,39,95,61902122
69,42,90,75,48,92,61902123
49,27,80,50,31,81,61902124
44,20,77,43,20,81,61902125
62,41,85,63,43,86,61902126
49,23,81,49,25,82,61902127
71,45,92,74,48,94,61902128
76,49,94,75,52,96,61902129
77,50,97,78,57,99,61902130
41,20,73,39,22,75,61902131
65,42,86,66,43,89,61902132
81,54,96,82,57,96,61902133
65,41,89,69,48,90,61902134
78,52,95,78,52,96,61902135
80,59,94,79,61,94,61902136
46,23,75,51,27,75,61902138
27,9,59,30,12,63,61902139
52,30,81,53,32,84,61902140
51,34,79,56,38,82,61902142
20,7,55,25,9,59,61902143
61,21,84,53,7,75,61903001
43,19,81,46,25,81,61903041
38,17,72,42,19,74,61903102
62,21,87,54,8,80,61905001
44,19,74,42,24,72,61905041
36,15,71,38,18,71,61905101
47,25,75,52,27,81,61905102
57,22,82,59,17,74,61906001
49,22,82,47,24,83,61906041
45,22,77,43,23,77,61906101
68,26,88,58,10,78,61907001
57,28,86,55,31,84,61907041
62,31,90,61,36,90,61907101
45,19,78,50,28,82,61907102
56,22,77,47,7,66,61908001
27,8,62,20,0,50,61908003
47,17,79,54,29,81,61908041
42,19,74,43,19,75,61908101
58,34,85,56,35,85,61908104
53,25,85,50,21,77,61908105
87,38,96,84,20,93,61910001
70,37,92,67,41,90,61910041
66,37,90,63,34,91,61910042
65,41,93,60,38,94,61910101
68,26,86,61,14,78,61911001
,,,,,,61911003
80,39,92,76,23,88,61911007
87,48,95,82,35,91,61911010
74,32,89,68,16,83,61911011
74,46,93,70,43,92,61911042
58,30,85,56,30,82,61911043
48,24,79,42,23,77,61911044
66,37,91,64,37,90,61911045
64,35,89,59,35,86,61911046
59,30,86,58,32,85,61911047
62,40,87,67,46,90,61911101
53,31,83,54,33,85,61911102
76,48,94,75,50,94,61911106
64,37,88,64,37,89,61911107
38,21,67,39,23,67,61911108
77,53,94,79,53,94,61911109
56,30,82,52,30,79,61911110
39,19,76,37,21,79,61911111
41,20,77,41,20,79,61911112
57,29,86,59,32,87,61911113
71,44,92,72,48,94,61911114
48,26,77,52,29,83,61911115
57,33,84,58,37,86,61911116
46,24,76,49,28,77,61911117
47,26,80,50,30,83,61911118
56,34,82,57,37,85,61911119
70,44,90,74,47,93,61911120
58,31,83,59,29,87,61911121
63,22,84,55,6,73,61912001
51,24,82,46,24,78,61912041
45,22,83,48,27,88,61912101
44,20,77,47,23,80,61912103
50,25,80,58,33,88,61912105
53,17,80,51,7,72,61914001
43,18,77,45,23,77,61914041
65,37,90,68,42,92,61914042
41,22,69,42,23,70,61914103
38,22,67,39,23,67,61914104
40,21,73,43,23,79,61914105
49,25,79,49,26,79,61914107
40,19,79,46,23,80,61914108
55,14,83,51,5,75,62901001
42,18,80,42,21,83,62901041
36,16,75,39,18,79,62901042
40,15,69,39,9,65,62902001
40,10,68,39,4,59,62903001
35,13,70,34,16,69,62903041
46,23,82,40,20,79,62903102
48,18,67,42,6,60,62904001
30,8,68,31,12,72,62904041
24,10,64,21,8,66,62904102
50,22,84,42,21,75,62905101
57,26,86,60,31,87,62906101
44,18,74,49,19,76,63903001
46,19,78,37,13,75,63906001
45,9,73,39,3,61,64903001
36,16,67,34,15,68,64903041
49,26,82,46,25,85,64903102
32,13,64,29,11,62,64903103
64,13,89,63,6,81,65901001
47,20,79,48,26,79,65901041
56,29,88,60,39,91,65901101
60,32,87,55,25,82,65902001
21,13,71,27,18,73,66005101
30,11,67,39,13,66,66901001
38,15,79,37,16,77,66901041
49,14,76,38,4,64,66902001
25,8,55,26,12,53,66902041
27,11,60,31,11,65,66902101
41,12,75,44,7,65,66903002
36,11,75,41,12,76,66903042
25,9,62,24,11,62,66903102
78,33,93,70,12,86,67902001
11,5,63,11,0,56,67902004
58,28,88,56,35,87,67902041
49,24,79,51,28,84,67902101
44,13,77,42,7,66,67903001
58,27,85,57,32,85,67903041
44,22,77,50,27,80,67903101
53,13,77,50,3,61,67904001
32,14,67,33,17,67,67904042
31,10,64,35,12,72,67904101
41,13,67,37,6,53,67907001
26,10,59,32,16,61,67907041
33,10,72,40,11,79,67907101
38,13,78,46,15,90,67908001
43,18,83,45,21,93,67908101
53,25,85,52,26,85,68802001
47,20,79,50,21,81,68803001
31,6,62,26,1,48,68901002
38,11,66,34,4,55,68901003
,,,,,,68901004
-1,-1,-1,-1,-1,-1,68901005
70,21,90,67,10,85,68901011
69,22,90,64,6,83,68901014
67,21,90,75,13,90,68901015
24,9,57,23,11,54,68901042
25,9,56,28,11,58,68901043
24,8,55,22,9,51,68901044
24,8,58,29,12,62,68901045
39,17,71,41,21,71,68901046
23,7,59,24,9,58,68901047
43,22,78,43,22,82,68901101
44,20,81,44,22,83,68901102
25,11,55,26,11,59,68901103
22,7,54,27,9,61,68901104
44,18,78,42,17,77,68901105
23,6,55,21,5,56,68901107
27,11,58,25,9,57,68901110
34,14,69,37,17,73,68901111
58,31,92,61,33,95,68901112
22,8,54,26,9,58,68901113
26,11,59,30,13,64,68901114
37,13,74,37,13,79,68901116
89,65,100,87,63,100,68901118
18,5,49,23,7,54,68901119
49,22,76,43,19,73,68901121
25,11,56,23,10,57,68901122
25,10,59,26,12,60,68901124
38,19,72,42,18,76,68901125
40,20,73,39,20,71,68901126
20,9,52,22,11,56,68901127
32,14,66,36,17,72,68901128
43,19,79,47,22,82,68901129
31,12,65,30,13,70,68901130
24,10,56,29,12,61,68901131
28,10,58,29,11,58,68901132
52,26,83,53,27,85,68901133
28,10,58,33,13,59,69901001
55,21,84,59,13,79,69902001
38,17,70,45,20,74,69902101
20,5,51,21,4,47,70801002
39,19,69,42,25,75,70801041
39,17,72,40,17,70,70901001
50,16,74,42,5,63,70903002
42,18,75,44,21,75,70903042
44,21,75,41,18,75,70903043
44,21,82,46,27,81,70903101
39,17,77,37,18,71,70903102
38,17,76,39,19,76,70903103
59,37,87,53,34,84,70903104
41,19,75,41,20,73,70903105
39,11,68,28,2,53,70905002
32,14,69,30,12,66,70905041
35,13,73,34,13,77,70905104
45,20,79,43,20,74,70905105
49,20,80,52,18,78,70907001
34,14,71,35,18,72,70907101
56,17,78,53,8,70,70908001
68,26,88,65,15,83,70908003
56,28,84,51,26,83,70908042
63,33,89,56,28,86,70908044
54,31,80,51,30,81,70908103
46,23,79,45,19,80,70908104
62,38,90,61,35,90,70908105
57,29,88,55,28,89,70908106
36,17,73,37,19,76,70908107
58,32,88,54,30,90,70908108
60,35,87,61,33,89,70908109
25,8,64,33,12,73,70909001
65,25,84,55,11,77,70910001
55,25,88,51,26,87,70910041
42,20,73,41,19,77,70910101
56,20,78,48,5,66,70911001
49,23,78,46,24,78,70911041
42,24,77,42,21,80,70911101
46,26,80,42,24,80,70911102
54,32,81,50,30,80,70911103
47,20,80,51,25,83,70911105
48,25,79,47,28,78,70911107
57,20,80,52,9,72,70912002
-1,-1,-1,-1,-1,-1,70912003
88,41,98,86,25,96,70912004
47,20,79,50,25,80,70912042
51,24,81,52,28,81,70912043
44,18,76,47,23,76,70912045
46,26,80,48,27,82,70912104
45,19,80,42,19,80,70912106
63,35,91,60,34,91,70912107
44,21,79,44,20,80,70912108
66,39,90,66,43,91,70912110
46,24,81,49,26,82,70912111
45,22,78,45,21,79,70912112
54,31,85,52,33,86,70912114
56,19,79,50,5,74,70915001
40,19,75,38,19,73,70915041
48,23,78,47,27,78,70915101
58,33,86,58,36,88,71801001
52,23,83,52,25,82,71801003
35,10,67,19,0,50,71803001
40,5,78,30,2,63,71803002
32,6,68,30,0,48,71804001
33,7,80,20,0,58,71804002
66,30,90,63,25,87,71806001
47,21,79,45,21,76,71806002
47,19,82,42,18,78,71806004
38,20,72,37,19,71,71806005
49,26,79,49,26,80,71806006
25,7,60,35,14,66,71807101
63,36,89,59,40,85,71809001
43,18,76,40,20,68,71810001
52,18,78,44,7,65,71901001
47,13,78,38,3,66,71901002
42,12,72,35,3,61,71901004
85,35,97,83,23,93,71901009
41,17,77,46,20,77,71901041
35,13,68,34,14,64,71901042
37,14,73,37,15,70,71901044
44,20,76,36,16,68,71901045
38,17,72,33,14,69,71901101
46,22,80,45,21,81,71901102
48,25,78,45,21,78,71901103
42,21,73,35,18,69,71901104
38,14,73,33,12,72,71901105
36,20,70,31,18,68,71901106
44,12,70,35,2,57,71902001
43,12,72,33,2,58,71902002
25,7,58,16,0,41,71902003
52,17,76,45,6,66,71902004
60,26,82,54,15,73,71902005
56,22,79,45,9,67,71902006
35,8,64,26,1,47,71902008
36,10,62,25,1,48,71902009
64,26,83,56,11,74,71902010
96,48,100,95,35,100,71902011
58,22,78,50,9,67,71902012
90,43,98,92,26,97,71902015
51,25,85,60,37,90,71902019
11,2,47,8,0,25,71902020
,,,,,,71902025
,,,,,,71902040
34,11,68,30,12,62,71902041
42,18,79,44,21,78,71902042
30,10,65,33,13,66,71902043
24,8,55,22,8,50,71902044
44,21,75,40,17,75,71902045
34,14,63,37,16,64,71902046
36,12,71,34,12,70,71902047
35,12,67,32,10,63,71902048
37,14,72,35,13,68,71902049
46,22,78,48,25,78,71902051
51,25,81,52,26,80,71902052
70,40,92,68,41,90,71902053
34,13,68,33,13,65,71902054
53,26,81,52,28,81,71902055
46,18,80,49,24,82,71902056
27,10,65,29,9,70,71902102
48,17,85,43,15,82,71902103
32,13,73,48,22,84,71902104
43,25,78,46,24,77,71902105
43,20,81,43,22,77,71902106
39,15,75,36,14,78,71902107
44,19,78,48,23,81,71902109
54,30,81,56,31,81,71902110
34,14,73,33,16,72,71902111
41,21,77,38,22,80,71902112
33,14,68,34,13,73,71902113
40,11,79,41,9,79,71902114
39,19,81,42,20,88,71902115
39,17,76,40,21,77,71902116
27,10,65,29,12,69,71902118
65,31,95,62,31,95,71902119
47,20,83,45,16,81,71902121
59,33,87,58,35,91,71902123
72,42,96,63,35,96,71902125
38,17,69,42,21,71,71902128
42,18,74,40,19,73,71902129
54,30,83,61,36,88,71902130
60,32,90,59,30,91,71902131
46,20,78,53,26,82,71902133
45,21,80,49,24,83,71902134
53,27,85,52,28,85,71902135
49,20,84,46,19,84,71902136
40,18,80,33,19,81,71902138
29,12,63,31,20,64,71902140
36,14,78,37,14,78,71902141
55,30,82,51,25,79,71902142
33,11,64,35,14,67,71902143
52,29,84,53,33,85,71902146
52,28,84,56,32,87,71902147
53,20,89,56,24,88,71902148
55,28,86,56,23,85,71902149
45,22,76,54,27,79,71902150
60,29,94,61,31,97,71902151
32,16,65,31,15,68,71902153
39,18,78,36,16,78,71902155
48,24,80,53,29,88,71902156
44,22,78,42,26,76,71902158
75,49,94,74,50,96,71902159
63,40,90,62,38,91,71902160
50,27,83,51,30,86,71902161
69,42,94,68,42,95,71902162
51,27,85,51,28,88,71902163
38,17,70,39,19,74,71902165
58,32,89,60,36,93,71902166
46,17,81,40,15,79,71902167
72,44,93,74,46,94,71902168
25,9,60,25,10,62,71902169
,,,,,,71902173
45,20,82,41,20,80,71902174
45,21,80,44,24,81,71902175
71,47,93,72,50,94,71902177
53,28,82,57,30,84,71902178
47,13,76,35,3,59,71903001
42,17,77,34,15,70,71903041
47,22,78,45,20,78,71903103
50,25,81,46,30,78,71903105
45,14,73,32,3,58,71904001
37,15,72,40,19,74,71904041
33,13,75,31,13,72,71904101
42,15,76,38,15,73,71904103
50,24,85,45,20,82,71904104
57,20,82,46,7,69,71905001
69,28,85,61,9,79,71905002
58,21,81,44,4,67,71905003
54,17,78,41,4,63,71905004
49,16,76,34,5,63,71905005
60,22,82,53,8,74,71905007
66,26,86,55,8,77,71905008
24,6,59,10,0,44,71905010
88,39,98,86,25,96,71905017
89,54,99,89,48,99,71905018
11,4,24,3,0,14,71905033
39,14,75,39,17,75,71905042
62,26,88,64,26,88,71905043
39,16,72,39,18,72,71905044
32,10,67,30,12,65,71905046
37,13,73,44,21,80,71905048
45,18,82,45,22,80,71905050
42,17,75,40,18,70,71905052
44,18,78,47,24,80,71905055
45,17,80,40,17,73,71905056
43,19,79,39,17,73,71905101
37,17,74,29,13,68,71905103
57,27,90,51,24,86,71905104
54,29,85,48,24,83,71905105
62,34,90,58,35,89,71905106
58,33,88,53,28,85,71905107
41,21,77,37,18,76,71905108
43,19,80,36,16,75,71905109
46,23,80,43,22,78,71905110
44,15,83,34,10,77,71905112
51,22,88,46,24,87,71905113
71,39,97,64,33,95,71905114
52,24,85,47,23,81,71905116
62,33,89,51,28,85,71905117
56,27,88,53,20,88,71905118
